"participant" "language" "item" "repetition" "vot"
"monoSp02" "spanish" "te" 3 8.54
"monoSp02" "spanish" "ti" 1 5.84
"monoSp02" "spanish" "ti" 2 10.7
"monoSp02" "spanish" "ti" 3 16.13
"monoSp02" "spanish" "tu" 1 4.81
"monoSp02" "spanish" "tu" 2 7.84
"monoSp02" "spanish" "tu" 3 9.67
"monoSp03" "spanish" "da" 1 -58.58
"monoSp03" "spanish" "da" 2 -53.18
"monoSp03" "spanish" "da" 3 -46.76
"monoSp03" "spanish" "de" 1 -57.59
"monoSp03" "spanish" "de" 2 -69.63
"monoSp03" "spanish" "de" 3 -60.16
"monoSp03" "spanish" "di" 1 -49.96
"monoSp03" "spanish" "di" 2 -46.48
"monoSp03" "spanish" "di" 3 -62.32
"monoSp03" "spanish" "te" 1 17.78
"monoSp03" "spanish" "te" 2 21.11
"monoSp03" "spanish" "te" 3 6.14
"monoSp03" "spanish" "ti" 1 1.14
"monoSp03" "spanish" "ti" 2 6.64
"monoSp03" "spanish" "ti" 3 7.78
"monoSp03" "spanish" "tu" 1 13.6
"monoSp03" "spanish" "tu" 2 15.97
"monoSp03" "spanish" "tu" 3 16.38
"monoSp04" "spanish" "da" 1 -49.8
"monoSp04" "spanish" "da" 2 -53.71
"monoSp04" "spanish" "da" 3 -49.02
"monoSp04" "spanish" "de" 1 -52.1
"monoSp04" "spanish" "de" 2 -61.09
"monoSp04" "spanish" "de" 3 -70.76
"monoSp04" "spanish" "di" 1 -51.33
"monoSp04" "spanish" "di" 2 -70.45
"monoSp04" "spanish" "di" 3 -74.32
"monoSp04" "spanish" "te" 1 19.41
"monoSp04" "spanish" "te" 2 19.93
"monoSp04" "spanish" "te" 3 10.34
"monoSp04" "spanish" "ti" 1 9.03
"monoSp04" "spanish" "ti" 2 17.34
"monoSp04" "spanish" "ti" 3 5.34
"monoSp04" "spanish" "tu" 1 9.72
"monoSp04" "spanish" "tu" 2 13.69
"monoSp04" "spanish" "tu" 3 13.88
"monoSp05" "spanish" "da" 1 -65.76
"monoSp05" "spanish" "da" 2 -57.39
"monoSp05" "spanish" "da" 3 -59.3
"monoSp05" "spanish" "de" 1 -43.52
"monoSp05" "spanish" "de" 2 -59.22
"monoSp05" "spanish" "de" 3 -54.55
"monoSp05" "spanish" "di" 1 -77.32
"monoSp05" "spanish" "di" 2 -60.27
"monoSp05" "spanish" "di" 3 -58.13
"monoSp05" "spanish" "te" 1 28.88
"monoSp05" "spanish" "te" 2 12.88
"monoSp05" "spanish" "te" 3 2.38
"monoSp05" "spanish" "ti" 1 4.33
"monoSp05" "spanish" "ti" 2 1.19
"monoSp05" "spanish" "ti" 3 7.39
"monoSp05" "spanish" "tu" 1 13.03
"monoSp05" "spanish" "tu" 2 2.62
"monoSp05" "spanish" "tu" 3 9.58
"monoSp06" "spanish" "da" 1 -58.94
"monoSp06" "spanish" "da" 2 -65.73
"monoSp06" "spanish" "da" 3 -78.04
"monoSp06" "spanish" "de" 1 -53.8
"monoSp06" "spanish" "de" 2 -82.97
"monoSp06" "spanish" "de" 3 -81.38
"monoSp06" "spanish" "di" 1 -58.01
"monoSp06" "spanish" "di" 2 -79.53
"monoSp06" "spanish" "di" 3 -59.43
"monoSp06" "spanish" "te" 1 20.54
"monoSp06" "spanish" "te" 2 24.88
"monoSp06" "spanish" "te" 3 21.12
"monoSp06" "spanish" "ti" 1 25.61
"monoSp06" "spanish" "ti" 2 7.48
"monoSp06" "spanish" "ti" 3 9.56
"monoSp06" "spanish" "tu" 1 6.65
"monoSp06" "spanish" "tu" 2 25.66
"monoSp06" "spanish" "tu" 3 2.39
"monoSp07" "spanish" "da" 1 -45.5
"monoSp07" "spanish" "da" 2 -52.9
"monoSp07" "spanish" "da" 3 -66.39
"monoSp07" "spanish" "de" 1 -47.77
"monoSp07" "spanish" "de" 2 -54.74
"monoSp07" "spanish" "de" 3 -73.23
"monoSp07" "spanish" "di" 1 -72.93
"monoSp07" "spanish" "di" 2 -65.42
"monoSp07" "spanish" "di" 3 -74.68
"monoSp07" "spanish" "te" 1 19.44
"monoSp07" "spanish" "te" 2 23.75
"monoSp07" "spanish" "te" 3 14.76
"monoSp07" "spanish" "ti" 1 9.01
"monoSp07" "spanish" "ti" 2 9.18
"monoSp07" "spanish" "ti" 3 10.19
"monoSp07" "spanish" "tu" 1 16.62
"monoSp07" "spanish" "tu" 2 12.05
"monoSp07" "spanish" "tu" 3 5.43
"monoSp08" "spanish" "da" 1 -55.83
"monoSp08" "spanish" "da" 2 -58.56
"monoSp08" "spanish" "da" 3 -67.82
"monoSp08" "spanish" "de" 1 -56.42
"monoSp08" "spanish" "de" 2 -76.75
"monoSp08" "spanish" "de" 3 -64.42
"monoSp08" "spanish" "di" 1 -67.46
"monoSp08" "spanish" "di" 2 -62.77
"monoSp08" "spanish" "di" 3 -80.23
"monoSp08" "spanish" "te" 1 8.37
"monoSp08" "spanish" "te" 2 1.79
"monoSp08" "spanish" "te" 3 27.27
"monoSp08" "spanish" "ti" 1 2.99
"monoSp08" "spanish" "ti" 2 19.03
"monoSp08" "spanish" "ti" 3 16.27
"monoSp08" "spanish" "tu" 1 8.33
"monoSp08" "spanish" "tu" 2 9.77
"monoSp08" "spanish" "tu" 3 24.03
"monoSp09" "spanish" "da" 1 -56.49
"monoSp09" "spanish" "da" 2 -64.6
"monoSp09" "spanish" "da" 3 -68.25
"monoSp09" "spanish" "de" 1 -71.3
"monoSp09" "spanish" "de" 2 -65.75
"monoSp09" "spanish" "de" 3 -61.47
"monoSp09" "spanish" "di" 1 -58.77
"monoSp09" "spanish" "di" 2 -72.35
"monoSp09" "spanish" "di" 3 -84.6
"monoSp09" "spanish" "te" 1 9.75
"monoSp09" "spanish" "te" 2 12.92
"monoSp09" "spanish" "te" 3 8.82
"monoSp09" "spanish" "ti" 1 2.83
"monoSp09" "spanish" "ti" 2 20.89
"monoSp09" "spanish" "ti" 3 3.17
"monoSp09" "spanish" "tu" 1 8.65
"monoSp09" "spanish" "tu" 2 16.24
"monoSp09" "spanish" "tu" 3 22.04
"monoEn00" "english" "dig" 1 1.88
"monoEn00" "english" "dig" 2 28.16
"monoEn00" "english" "dig" 3 11.97
"monoEn00" "english" "dog" 1 20.5
"monoEn00" "english" "dog" 2 15.43
"monoEn00" "english" "dog" 3 18.42
"monoEn00" "english" "dug" 1 7.16
"monoEn00" "english" "dug" 2 24.97
"monoEn00" "english" "dug" 3 24.02
"monoEn00" "english" "tag" 1 52.89
"monoEn00" "english" "tag" 2 58.52
"monoEn00" "english" "tag" 3 62.4
"monoEn00" "english" "tog" 1 61.22
"monoEn00" "english" "tog" 2 57.56
"monoEn00" "english" "tog" 3 56.42
"monoEn00" "english" "tug" 1 32.61
"monoEn00" "english" "tug" 2 46.28
"monoEn00" "english" "tug" 3 53.96
"monoEn01" "english" "dig" 1 5.67
"monoEn01" "english" "dig" 2 24.98
"monoEn01" "english" "dig" 3 19.72
"monoEn01" "english" "dog" 1 11.2
"monoEn01" "english" "dog" 2 18.92
"monoEn01" "english" "dog" 3 13.81
"monoEn01" "english" "dug" 1 14.51
"monoEn01" "english" "dug" 2 18.53
"monoEn01" "english" "dug" 3 2.67
"monoEn01" "english" "tag" 1 66.8
"monoEn01" "english" "tag" 2 40.45
"monoEn01" "english" "tag" 3 40.78
"monoEn01" "english" "tog" 1 61.55
"monoEn01" "english" "tog" 2 51.87
"monoEn01" "english" "tog" 3 72.2
"monoEn01" "english" "tug" 1 61.89
"monoEn01" "english" "tug" 2 61.18
"monoEn01" "english" "tug" 3 41.5
"monoEn02" "english" "dig" 1 17.3
"monoEn02" "english" "dig" 2 23.34
"monoEn02" "english" "dig" 3 6.53
"monoEn02" "english" "dog" 1 9.66
"monoEn02" "english" "dog" 2 0.88
"monoEn02" "english" "dog" 3 22.36
"monoEn02" "english" "dug" 1 14.29
"monoEn02" "english" "dug" 2 10.74
"monoEn02" "english" "dug" 3 24.61
"monoEn02" "english" "tag" 1 41.9
"monoEn02" "english" "tag" 2 37.78
"monoEn02" "english" "tag" 3 66.76
"monoEn02" "english" "tog" 1 70.37
"monoEn02" "english" "tog" 2 53.32
"monoEn02" "english" "tog" 3 59.1
"monoEn02" "english" "tug" 1 65.51
"monoEn02" "english" "tug" 2 60.04
"monoEn02" "english" "tug" 3 79.74
"monoEn03" "english" "dig" 1 16.1
"monoEn03" "english" "dig" 2 16.59
"monoEn03" "english" "dig" 3 1.46
"monoEn03" "english" "dog" 1 10.8
"monoEn03" "english" "dog" 2 15.49
"monoEn03" "english" "dog" 3 17.38
"monoEn03" "english" "dug" 1 16.79
"monoEn03" "english" "dug" 2 10.69
"monoEn03" "english" "dug" 3 14.82
"monoEn03" "english" "tag" 1 61.96
"monoEn03" "english" "tag" 2 59.19
"monoEn03" "english" "tag" 3 63.53
"monoEn03" "english" "tog" 1 48.76
"monoEn03" "english" "tog" 2 33.13
"monoEn03" "english" "tog" 3 32.72
"monoEn03" "english" "tug" 1 54.21
"monoEn03" "english" "tug" 2 62.35
"monoEn03" "english" "tug" 3 77.68
"monoEn04" "english" "dig" 1 4.66
"monoEn04" "english" "dig" 2 8.59
"monoEn04" "english" "dig" 3 11.09
"monoEn04" "english" "dog" 1 14.47
"monoEn04" "english" "dog" 2 21.6
"monoEn04" "english" "dog" 3 15.6
"monoEn04" "english" "dug" 1 20.94
"monoEn04" "english" "dug" 2 15.65
"monoEn04" "english" "dug" 3 11.21
"monoEn04" "english" "tag" 1 71.46
"monoEn04" "english" "tag" 2 70.46
"monoEn04" "english" "tag" 3 48.55
"monoEn04" "english" "tog" 1 63.74
"monoEn04" "english" "tog" 2 60.05
"monoEn04" "english" "tog" 3 61.51
"monoEn04" "english" "tug" 1 47.51
"monoEn04" "english" "tug" 2 48.18
"monoEn04" "english" "tug" 3 41.42
"monoEn05" "english" "dig" 1 5.71
"monoEn05" "english" "dig" 2 8.53
"monoEn05" "english" "dig" 3 20.66
"monoEn05" "english" "dog" 1 15.52
"monoEn05" "english" "dog" 2 12.18
"monoEn05" "english" "dog" 3 8.61
"monoEn05" "english" "dug" 1 20.89
"monoEn05" "english" "dug" 2 6.63
"monoEn05" "english" "dug" 3 20.61
"monoEn05" "english" "tag" 1 52.79
"monoEn05" "english" "tag" 2 48.1
"monoEn05" "english" "tag" 3 57.86
"monoEn05" "english" "tog" 1 46.02
"monoEn05" "english" "tog" 2 49.93
"monoEn05" "english" "tog" 3 44.35
"monoEn05" "english" "tug" 1 65.12
"monoEn05" "english" "tug" 2 46.83
"monoEn05" "english" "tug" 3 64.76
"monoEn06" "english" "dig" 1 18.05
"monoEn06" "english" "dig" 2 17.54
"monoEn06" "english" "dig" 3 1.8
"monoEn06" "english" "dog" 1 17.01
"monoEn06" "english" "dog" 2 18.17
"monoEn06" "english" "dog" 3 13.78
"monoEn06" "english" "dug" 1 7.37
"monoEn06" "english" "dug" 2 17.96
"monoEn06" "english" "dug" 3 16.86
"monoEn06" "english" "tag" 1 45.25
"monoEn06" "english" "tag" 2 69.78
"monoEn06" "english" "tag" 3 60.81
"monoEn06" "english" "tog" 1 53.28
"monoEn06" "english" "tog" 2 65.98
"monoEn06" "english" "tog" 3 58.58
"monoEn06" "english" "tug" 1 54.82
"monoEn06" "english" "tug" 2 46.66
"monoEn06" "english" "tug" 3 70.45
"monoEn07" "english" "dig" 1 17.87
"monoEn07" "english" "dig" 2 14.11
"monoEn07" "english" "dig" 3 17.5
"monoEn07" "english" "dog" 1 17.5
"monoEn07" "english" "dog" 2 12.38
"monoEn07" "english" "dog" 3 22.57
"monoEn07" "english" "dug" 1 14.73
"monoEn07" "english" "dug" 2 12.79
"monoEn07" "english" "dug" 3 14.55
"monoEn07" "english" "tag" 1 42.57
"monoEn07" "english" "tag" 2 49.35
"monoEn07" "english" "tag" 3 34.15
"monoEn07" "english" "tog" 1 63.59
"monoEn07" "english" "tog" 2 77.34
"monoEn07" "english" "tog" 3 61.98
"monoEn07" "english" "tug" 1 51.05
"monoEn07" "english" "tug" 2 63.83
"monoEn07" "english" "tug" 3 49.08
"monoEn08" "english" "dig" 1 25.49
"monoEn08" "english" "dig" 2 15.13
"monoEn08" "english" "dig" 3 3.47
"monoEn08" "english" "dog" 1 16.44
"monoEn08" "english" "dog" 2 4.94
"monoEn08" "english" "dog" 3 19.17
"monoEn08" "english" "dug" 1 23.85
"monoEn08" "english" "dug" 2 7.63
"monoEn08" "english" "dug" 3 16.62
"monoEn08" "english" "tag" 1 68.45
"monoEn08" "english" "tag" 2 43.21
"monoEn08" "english" "tag" 3 50.29
"monoEn08" "english" "tog" 1 55.49
"monoEn08" "english" "tog" 2 42.52
"monoEn08" "english" "tog" 3 51.07
"monoEn08" "english" "tug" 1 66.41
"monoEn08" "english" "tug" 2 48.71
"monoEn08" "english" "tug" 3 57.11
"monoEn09" "english" "dig" 1 21.53
"monoEn09" "english" "dig" 2 13.86
"monoEn09" "english" "dig" 3 19.05
"monoEn09" "english" "dog" 1 17.38
"monoEn09" "english" "dog" 2 15.76
"monoEn09" "english" "dog" 3 13.45
"monoEn09" "english" "dug" 1 19.72
"monoEn09" "english" "dug" 2 16.88
"monoEn09" "english" "dug" 3 17.6
"monoEn09" "english" "tag" 1 47.9
"monoEn09" "english" "tag" 2 57.56
"monoEn09" "english" "tag" 3 55.65
"monoEn09" "english" "tog" 1 55.94
"monoEn09" "english" "tog" 2 64.7
"monoEn09" "english" "tog" 3 56.47
"monoEn09" "english" "tug" 1 44.61
"monoEn09" "english" "tug" 2 27.78
"monoEn09" "english" "tug" 3 45.2
"biling00" "english" "dig" 1 11.57
"biling00" "english" "dig" 2 4.13
"biling00" "english" "dig" 3 0.76
"biling00" "english" "dog" 1 13.91
"biling00" "english" "dog" 2 9.21
"biling00" "english" "dog" 3 18.86
"biling00" "english" "dug" 1 13.66
"biling00" "english" "dug" 2 36.57
"biling00" "english" "dug" 3 13.44
"biling00" "english" "tag" 1 64.8
"biling00" "english" "tag" 2 52.57
"biling00" "english" "tag" 3 50.43
"biling00" "english" "tog" 1 25.47
"biling00" "english" "tog" 2 19.54
"biling00" "english" "tog" 3 34.06
"biling00" "english" "tug" 1 50.61
"biling00" "english" "tug" 2 17.42
"biling00" "english" "tug" 3 44.61
"biling00" "spanish" "da" 1 -57.7
"biling00" "spanish" "da" 2 -43.1
"biling00" "spanish" "da" 3 -65.4
"biling00" "spanish" "de" 1 -63.44
"biling00" "spanish" "de" 2 -64.74
"biling00" "spanish" "de" 3 -40.22
"biling00" "spanish" "di" 1 -60.12
"biling00" "spanish" "di" 2 -65.44
"biling00" "spanish" "di" 3 -64.34
"biling00" "spanish" "te" 1 7.39
"biling00" "spanish" "te" 2 20.92
"biling00" "spanish" "te" 3 37.65
"biling00" "spanish" "ti" 1 7.5
"biling00" "spanish" "ti" 2 -0.39
"biling00" "spanish" "ti" 3 7.76
"biling00" "spanish" "tu" 1 12.26
"biling00" "spanish" "tu" 2 0.65
"biling00" "spanish" "tu" 3 5.69
"biling01" "english" "dig" 1 13.14
"biling01" "english" "dig" 2 16.66
"biling01" "english" "dig" 3 18.48
"biling01" "english" "dog" 1 18.08
"biling01" "english" "dog" 2 23.81
"biling01" "english" "dog" 3 17.79
"biling01" "english" "dug" 1 6.69
"biling01" "english" "dug" 2 17.82
"biling01" "english" "dug" 3 20.27
"biling01" "english" "tag" 1 50.92
"biling01" "english" "tag" 2 36.42
"biling01" "english" "tag" 3 29.87
"biling01" "english" "tog" 1 51.89
"biling01" "english" "tog" 2 36.5
"biling01" "english" "tog" 3 80.57
"biling01" "english" "tug" 1 53.03
"biling01" "english" "tug" 2 32.38
"biling01" "english" "tug" 3 37.95
"biling01" "spanish" "da" 1 -61.93
"biling01" "spanish" "da" 2 -57.66
"biling01" "spanish" "da" 3 -45.93
"biling01" "spanish" "de" 1 -63.35
"biling01" "spanish" "de" 2 -62.54
"biling01" "spanish" "de" 3 -76.35
"biling01" "spanish" "di" 1 -53.79
"biling01" "spanish" "di" 2 -58.37
"biling01" "spanish" "di" 3 -64.47
"biling01" "spanish" "te" 1 3.07
"biling01" "spanish" "te" 2 25.4
"biling01" "spanish" "te" 3 1.39
"biling01" "spanish" "ti" 1 5.05
"biling01" "spanish" "ti" 2 20.85
"biling01" "spanish" "ti" 3 -14.07
"biling01" "spanish" "tu" 1 14.47
"biling01" "spanish" "tu" 2 10.64
"biling01" "spanish" "tu" 3 8.06
"biling02" "english" "dig" 1 22.07
"biling02" "english" "dig" 2 3.06
"biling02" "english" "dig" 3 9.87
"biling02" "english" "dog" 1 17.45
"biling02" "english" "dog" 2 16.6
"biling02" "english" "dog" 3 12.78
"biling02" "english" "dug" 1 20.05
"biling02" "english" "dug" 2 10.79
"biling02" "english" "dug" 3 9.3
"biling02" "english" "tag" 1 37.57
"biling02" "english" "tag" 2 47.97
"biling02" "english" "tag" 3 40.21
"biling02" "english" "tog" 1 41.59
"biling02" "english" "tog" 2 67.64
"biling02" "english" "tog" 3 36.5
"biling02" "english" "tug" 1 70.33
"biling02" "english" "tug" 2 62.35
"biling02" "english" "tug" 3 43.47
"biling02" "spanish" "da" 1 -50.3
"biling02" "spanish" "da" 2 -61.66
"biling02" "spanish" "da" 3 -63.85
"biling02" "spanish" "de" 1 -65.45
"biling02" "spanish" "de" 2 -65.86
"biling02" "spanish" "de" 3 -53.04
"biling02" "spanish" "di" 1 -67.06
"biling02" "spanish" "di" 2 -64.44
"biling02" "spanish" "di" 3 -48.72
"biling02" "spanish" "te" 1 4.21
"biling02" "spanish" "te" 2 13.06
"biling02" "spanish" "te" 3 -5.4
"biling02" "spanish" "ti" 1 14.58
"biling02" "spanish" "ti" 2 29.85
"biling02" "spanish" "ti" 3 7.31
"biling02" "spanish" "tu" 1 16.7
"biling02" "spanish" "tu" 2 -1.31
"biling02" "spanish" "tu" 3 -1.31
"biling03" "english" "dig" 1 19.49
"biling03" "english" "dig" 2 8.92
"biling03" "english" "dig" 3 10.67
"biling03" "english" "dog" 1 20.63
"biling03" "english" "dog" 2 18.48
"biling03" "english" "dog" 3 20.57
"biling03" "english" "dug" 1 11.94
"biling03" "english" "dug" 2 20.86
"biling03" "english" "dug" 3 22.97
"biling03" "english" "tag" 1 41.62
"biling03" "english" "tag" 2 26.18
"biling03" "english" "tag" 3 41.94
"biling03" "english" "tog" 1 46.16
"biling03" "english" "tog" 2 53.16
"biling03" "english" "tog" 3 31.55
"biling03" "english" "tug" 1 48.34
"biling03" "english" "tug" 2 43.6
"biling03" "english" "tug" 3 54.23
"biling03" "spanish" "da" 1 -56.88
"biling03" "spanish" "da" 2 -56.04
"biling03" "spanish" "da" 3 -48.02
"biling03" "spanish" "de" 1 -59.36
"biling03" "spanish" "de" 2 -58.12
"biling03" "spanish" "de" 3 -63.62
"biling03" "spanish" "di" 1 -43.79
"biling03" "spanish" "di" 2 -46.21
"biling03" "spanish" "di" 3 -73.64
"biling03" "spanish" "te" 1 4.23
"biling03" "spanish" "te" 2 15.62
"biling03" "spanish" "te" 3 -2.42
"biling03" "spanish" "ti" 1 -7.82
"biling03" "spanish" "ti" 2 -4.87
"biling03" "spanish" "ti" 3 -1.8
"biling03" "spanish" "tu" 1 21.81
"biling03" "spanish" "tu" 2 7.25
"biling03" "spanish" "tu" 3 7.25
"biling04" "english" "dig" 1 28.7
"biling04" "english" "dig" 2 28.76
"biling04" "english" "dig" 3 31.43
"biling04" "english" "dog" 1 19.81
"biling04" "english" "dog" 2 7.48
"biling04" "english" "dog" 3 10.99
"biling04" "english" "dug" 1 28.96
"biling04" "english" "dug" 2 13.25
"biling04" "english" "dug" 3 12.57
"biling04" "english" "tag" 1 52.64
"biling04" "english" "tag" 2 54.28
"biling04" "english" "tag" 3 38.49
"biling04" "english" "tog" 1 52.55
"biling04" "english" "tog" 2 58.28
"biling04" "english" "tog" 3 24.23
"biling04" "english" "tug" 1 39.12
"biling04" "english" "tug" 2 43.83
"biling04" "english" "tug" 3 36.54
"biling04" "spanish" "da" 1 -68.61
"biling04" "spanish" "da" 2 -50.49
"biling04" "spanish" "da" 3 -59.66
"biling04" "spanish" "de" 1 -56.59
"biling04" "spanish" "de" 2 -68.55
"biling04" "spanish" "de" 3 -48.82
"biling04" "spanish" "di" 1 -45.46
"biling04" "spanish" "di" 2 -69.21
"biling04" "spanish" "di" 3 -80.87
"biling04" "spanish" "te" 1 -2.22
"biling04" "spanish" "te" 2 22.24
"biling04" "spanish" "te" 3 0.15
"biling04" "spanish" "ti" 1 3.08
"biling04" "spanish" "ti" 2 9.12
"biling04" "spanish" "ti" 3 20.17
"biling04" "spanish" "tu" 1 11.73
"biling04" "spanish" "tu" 2 3.18
"biling04" "spanish" "tu" 3 18.84
"biling05" "english" "dig" 1 22.02
"biling05" "english" "dig" 2 10.58
"biling05" "english" "dig" 3 9.83
"biling05" "english" "dog" 1 20.95
"biling05" "english" "dog" 2 16.13
"biling05" "english" "dog" 3 13.64
"biling05" "english" "dug" 1 14.97
"biling05" "english" "dug" 2 21.25
"biling05" "english" "dug" 3 13.23
"biling05" "english" "tag" 1 45.41
"biling05" "english" "tag" 2 67.03
"biling05" "english" "tag" 3 39.47
"biling05" "english" "tog" 1 47.47
"biling05" "english" "tog" 2 67.5
"biling05" "english" "tog" 3 65.18
"biling05" "english" "tug" 1 40.01
"biling05" "english" "tug" 2 30.54
"biling05" "english" "tug" 3 34.81
"biling05" "spanish" "da" 1 -67.18
"biling05" "spanish" "da" 2 -62.76
"biling05" "spanish" "da" 3 -54
"biling05" "spanish" "de" 1 -45.58
"biling05" "spanish" "de" 2 -65.89
"biling05" "spanish" "de" 3 -54.46
"biling05" "spanish" "di" 1 -56.39
"biling05" "spanish" "di" 2 -53.35
"biling05" "spanish" "di" 3 -43.37
"biling05" "spanish" "te" 1 1.39
"biling05" "spanish" "te" 2 18.7
"biling05" "spanish" "te" 3 3.61
"biling05" "spanish" "ti" 1 11.1
"biling05" "spanish" "ti" 2 -0.72
"biling05" "spanish" "ti" 3 13.11
"biling05" "spanish" "tu" 1 12.71
"biling05" "spanish" "tu" 2 11.87
"biling05" "spanish" "tu" 3 0.22
"biling06" "english" "dig" 1 15.86
"biling06" "english" "dig" 2 14.57
"biling06" "english" "dig" 3 0.23
"biling06" "english" "dog" 1 12.23
"biling06" "english" "dog" 2 14.7
"biling06" "english" "dog" 3 27.46
"biling06" "english" "dug" 1 15.81
"biling06" "english" "dug" 2 14.49
"biling06" "english" "dug" 3 19.38
"biling06" "english" "tag" 1 56.12
"biling06" "english" "tag" 2 40.3
"biling06" "english" "tag" 3 46.36
"biling06" "english" "tog" 1 66.51
"biling06" "english" "tog" 2 40.97
"biling06" "english" "tog" 3 29.08
"biling06" "english" "tug" 1 47.72
"biling06" "english" "tug" 2 45.68
"biling06" "english" "tug" 3 33.95
"biling06" "spanish" "da" 1 -70.53
"biling06" "spanish" "da" 2 -49.23
"biling06" "spanish" "da" 3 -55.51
"biling06" "spanish" "de" 1 -64.68
"biling06" "spanish" "de" 2 -74.47
"biling06" "spanish" "de" 3 -73.65
"biling06" "spanish" "di" 1 -58.47
"biling06" "spanish" "di" 2 -53.25
"biling06" "spanish" "di" 3 -52.86
"biling06" "spanish" "te" 1 9.09
"biling06" "spanish" "te" 2 4.42
"biling06" "spanish" "te" 3 12.55
"biling06" "spanish" "ti" 1 17.04
"biling06" "spanish" "ti" 2 2.25
"biling06" "spanish" "ti" 3 15.58
"biling06" "spanish" "tu" 1 10.52
"biling06" "spanish" "tu" 2 8.52
"biling06" "spanish" "tu" 3 19.08
"biling07" "english" "dig" 1 4.3
"biling07" "english" "dig" 2 24.49
"biling07" "english" "dig" 3 9.96
"biling07" "english" "dog" 1 0.37
"biling07" "english" "dog" 2 22.14
"biling07" "english" "dog" 3 12.32
"biling07" "english" "dug" 1 24.01
"biling07" "english" "dug" 2 8.75
"biling07" "english" "dug" 3 18.36
"biling07" "english" "tag" 1 33.84
"biling07" "english" "tag" 2 37.9
"biling07" "english" "tag" 3 46.93
"biling07" "english" "tog" 1 50.77
"biling07" "english" "tog" 2 41.63
"biling07" "english" "tog" 3 49.29
"biling07" "english" "tug" 1 54.91
"biling07" "english" "tug" 2 68.9
"biling07" "english" "tug" 3 31.53
"biling07" "spanish" "da" 1 -58.7
"biling07" "spanish" "da" 2 -56.38
"biling07" "spanish" "da" 3 -66.33
"biling07" "spanish" "de" 1 -56.54
"biling07" "spanish" "de" 2 -61.46
"biling07" "spanish" "de" 3 -52.55
"biling07" "spanish" "di" 1 -52.45
"biling07" "spanish" "di" 2 -61.49
"biling07" "spanish" "di" 3 -59.64
"biling07" "spanish" "te" 1 10.36
"biling07" "spanish" "te" 2 -0.65
"biling07" "spanish" "te" 3 31.47
"biling07" "spanish" "ti" 1 22.8
"biling07" "spanish" "ti" 2 -8.29
"biling07" "spanish" "ti" 3 14.01
"biling07" "spanish" "tu" 1 -5.18
"biling07" "spanish" "tu" 2 22.05
"biling07" "spanish" "tu" 3 8.04
"biling08" "english" "dig" 1 12.9
"biling08" "english" "dig" 2 7.33
"biling08" "english" "dig" 3 23.73
"biling08" "english" "dog" 1 13.09
"biling08" "english" "dog" 2 14.35
"biling08" "english" "dog" 3 18.31
"biling08" "english" "dug" 1 -0.65
"biling08" "english" "dug" 2 14.51
"biling08" "english" "dug" 3 4.29
"biling08" "english" "tag" 1 46.64
"biling08" "english" "tag" 2 50.37
"biling08" "english" "tag" 3 41.57
"biling08" "english" "tog" 1 26.73
"biling08" "english" "tog" 2 47.5
"biling08" "english" "tog" 3 64.73
"biling08" "english" "tug" 1 50.81
