INCIDENT_NO,INCIDENT_DATE,CASE_NO,CFS_NO,DISTRICT,INCIDENT_TYPE,INCIDENT_DESCRIPTION,INCIDENT_LOCATION_X,LATITUDE_X,LONGITUDE_X,SUBJECT_GENDER,SUBJECT_RACE,SUSPECT_AGE,OFFICER_GENDER,OFFICER_RACE,SNA_NEIGHBORHOOD,CPD_NEIGHBORHOOD,COMMUNITY_COUNCIL_NEIGHBORHOOD
-3704,05/03/2000 02:10:00 AM,20000396,P00120082,DISTRICT 1,9825,CHEMICAL IRRITANT,10XX SYCAMORE,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-3704,05/03/2000 02:10:00 AM,20000396,P00120082,DISTRICT 1,9825,CHEMICAL IRRITANT,10XX SYCAMORE,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-2668,06/02/1999 07:25:00 PM,9900436,P991531327,DISTRICT 1,9826,INJURY TO PRISONER,XX E MCMICKEN,,,MALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
3348,08/03/2007 01:27:00 AM,2007-101864,P072150139,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,11XX MAIN ST,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
-5149,06/02/2001 06:10:00 PM,20010569,P011530875,DISTRICT 1,9825,CHEMICAL IRRITANT,11XX ST GREGORY ST,,,MALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
9726,01/04/2019 03:11:00 PM,2019-243230,CPD190104000637,DISTRICT 2,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,16XX LONGBOURN ST,,,MALE,WHITE,ADULT,FEMALE,WHITE,N/A,N/A,N/A
-5795,01/21/2002 08:23:00 PM,20020046,P020211183,DISTRICT 3,9826,INJURY TO PRISONER,13XX MANNS AV,,,FEMALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
2639,09/26/2006 05:00:00 PM,2006-89000,P062691224,DISTRICT 2,8223,WEAPON DISCHARGE AT AN ANIMAL,36XX EVANSTON AV,,,OTHER,UNKNOWN,UNKNOWN,MALE,BLACK,N/A,N/A,N/A
-362,01/01/1997 01:40:00 AM,9700001,P970010150,DISTRICT 4,9825,CHEMICAL IRRITANT,NB I75 AT 9MP,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-2892,08/11/1999 05:33:00 AM,9900660,P992230277,DISTRICT 3,9825,CHEMICAL IRRITANT,29XX BOUDINOT,,,MALE,BLACK,UNKNOWN,MALE,ASIAN,N/A,N/A,N/A
5198,03/23/2010 07:55:00 AM,2010-141936,LCP100323000235,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,101XX TAHITI DR,,,MALE,BLACK,ADULT,FEMALE,BLACK,N/A,N/A,N/A
-2962,09/01/1999 10:45:00 PM,9900731,P992441460,DISTRICT 1,9825,CHEMICAL IRRITANT,18XX BAYMILLER,,,MALE,BLACK,UNKNOWN,MALE,BLACK,N/A,N/A,N/A
-2962,09/01/1999 10:45:00 PM,9900731,P992441460,DISTRICT 1,9825,CHEMICAL IRRITANT,18XX BAYMILLER,,,MALE,BLACK,UNKNOWN,MALE,BLACK,N/A,N/A,N/A
3087,04/13/2007 02:51:00 AM,2007-97046,P071030201,DISTRICT 5,9826,INJURY TO PRISONER,6XX CLIFTON COLONY DR,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
-6774,03/20/2003 06:05:00 PM,20030197,P030791031,DISTRICT 1,2382,USE OF FORCE INVESTIGATION,XX EAST FIFTH ST,,,MALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-3544,03/13/2000 09:59:00 PM,20000233,P000731435,DISTRICT 4,2382,USE OF FORCE INVESTIGATION,25XX KEMPER,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-3544,03/13/2000 09:59:00 PM,20000233,P000731435,DISTRICT 4,2382,USE OF FORCE INVESTIGATION,25XX KEMPER,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
5683,01/01/2011 02:27:00 AM,2010-151739,LCP110101000269,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,26XX VINE ST,,,MALE,WHITE,ADULT,MALE,WHITE,N/A,N/A,N/A
10067,08/23/2019 04:43:00 PM,2019-249868,CPD190823001147,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,20XX WESTWOOD NORTHERN BLVD,,,FEMALE,BLACK,JUVENILE,MALE,BLACK,N/A,N/A,N/A
8505,07/05/2016 10:35:00 AM,2016-214987,LCP160705001881,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,28XX QUEEN CITY AV CINTI OH 45238,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
-4270,10/07/2000 02:42:00 AM,20000966,P002810105,DISTRICT 3,2382,USE OF FORCE INVESTIGATION,46XX RAPID RUN,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
3118,04/24/2007 09:52:00 PM,2007-97478,P071141804,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,10XX FAIRBANKS AV,,,FEMALE,BLACK,JUVENILE,MALE,WHITE,N/A,N/A,N/A
3118,04/24/2007 09:52:00 PM,2007-97478,P071141804,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,10XX FAIRBANKS AV,,,FEMALE,BLACK,JUVENILE,MALE,WHITE,N/A,N/A,N/A
-374,01/05/1997 12:45:00 AM,9700013,P970050079,DISTRICT 2,9825,CHEMICAL IRRITANT,49XX MATHIS STREET,,,MALE,BLACK,UNKNOWN,MALE,BLACK,N/A,N/A,N/A
-2080,10/27/1998 01:50:00 AM,9800841,P98300097,DISTRICT 1,9826,INJURY TO PRISONER,XX ELIFTON,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-2080,10/27/1998 01:50:00 AM,9800841,P98300097,DISTRICT 1,9826,INJURY TO PRISONER,XX ELIFTON,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-2434,03/07/1999 07:18:00 PM,9900202,P990660793,DISTRICT 3,9825,CHEMICAL IRRITANT,44XX GLENWAY,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
7495,07/04/2014 10:49:00 PM,2014-192679,LCP140704001475,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,5XX WALNUT ST,,,MALE,BLACK,JUVENILE,MALE,WHITE,N/A,N/A,N/A
-3267,12/10/1999 01:17:00 AM,9901037,P993440023,DISTRICT 3,9825,CHEMICAL IRRITANT,17XX  BLEEKER,,,FEMALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-411,02/05/1997 03:43:00 PM,9700050,,DISTRICT 4,9825,CHEMICAL IRRITANT,25XX VICTORY PARKWAY,,,FEMALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-2455,03/15/1999 10:35:00 AM,9900223,P990740345,DISTRICT 5,9825,CHEMICAL IRRITANT,41XX HAMILTON,,,FEMALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-2455,03/15/1999 10:35:00 AM,9900223,P990740345,DISTRICT 5,9825,CHEMICAL IRRITANT,41XX HAMILTON,,,FEMALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-4492,11/15/2000 09:42:00 AM,20001190,P003200373,DISTRICT 5,9825,CHEMICAL IRRITANT,44XX CLERAIN AV,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-4334,10/19/2000 04:55:00 PM,20001030,P002931089,DISTRICT 3,2382,USE OF FORCE INVESTIGATION,20XX SUTTER AV,,,MALE,BLACK,UNKNOWN,FEMALE,WHITE,N/A,N/A,N/A
-1730,07/01/1998 10:58:00 PM,9800490,P981821395,DISTRICT 5,9826,INJURY TO PRISONER,1XX W MCMILLAN AV,,,MALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
436,06/03/2003 04:04:00 PM,2005-60072,P031541082,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,21XX CENTRAL PKWY,,,MALE,WHITE,ADULT,MALE,BLACK,N/A,N/A,N/A
1904,01/13/2006 04:52:00 PM,2006-77653,P060131205,DISTRICT 1,9826,INJURY TO PRISONER,6XX CENTRAL AV # 202,,,MALE,BLACK,ADULT,FEMALE,BLACK,N/A,N/A,N/A
-6713,03/09/2003 09:31:00 PM,20030136,P030681324,DISTRICT 3,9825,CHEMICAL IRRITANT,19XX SUTTER AV,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
7293,03/01/2014 01:50:00 AM,2014-189227,LCP140301000121,DISTRICT 1,2382,USE OF FORCE INVESTIGATION,12XX MAIN ST CINCINNATI OHIO 45202,,,MALE,BLACK,ADULT,MALE,BLACK,N/A,N/A,N/A
-1566,05/03/1998 08:29:00 PM,9800322,P981231028,DISTRICT 1,9825,CHEMICAL IRRITANT,5XX DERRICK TURNBOW,,,MALE,BLACK,UNKNOWN,MALE,BLACK,N/A,N/A,N/A
-1566,05/03/1998 08:29:00 PM,9800322,P981231028,DISTRICT 1,9825,CHEMICAL IRRITANT,5XX DERRICK TURNBOW,,,MALE,BLACK,UNKNOWN,MALE,BLACK,N/A,N/A,N/A
-36,07/28/1996 03:48:00 PM,9600189,P962100605,DISTRICT 4,9826,INJURY TO PRISONER,TAFT/ VICTORY PKWAY,,,MALE,BLACK,UNKNOWN,MALE,BLACK,N/A,N/A,N/A
-1357,02/17/1998 08:45:00 PM,9800110,NONE,DISTRICT 1,9825,CHEMICAL IRRITANT,10XX SYCAMORE S5T,,,MALE,BLACK,UNKNOWN,MALE,BLACK,N/A,N/A,N/A
-4965,04/11/2001 12:30:00 AM,20010384,P011000806,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,15XX REPUBLIC STREET,,,OTHER,UNKNOWN,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
1849,12/24/2005 12:25:00 AM,2005-76847,P053571592,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,23XX BURNETT AV,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
-48,07/15/1996 12:00:00 AM,9600201,P96970831,DISTRICT 4,2382,USE OF FORCE INVESTIGATION,5XX M L KING DR,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-1765,07/11/1998 03:53:00 PM,9800525,P981920800,DISTRICT 4,9825,CHEMICAL IRRITANT,6XX ROCKDALE,,,MALE,BLACK,UNKNOWN,MALE,BLACK,N/A,N/A,N/A
1144,05/18/2005 08:25:00 PM,2005-66667,P051381702,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,5XX RIDGEWAY AV,,,MALE,WHITE,ADULT,MALE,BLACK,N/A,N/A,N/A
760,11/13/2004 10:20:00 PM,2005-61582,P043181508,DISTRICT 5,9823,NONCOMPLIANT SUSPECT/ARRESTEE,44XX COLERAIN AV,,,FEMALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
-738,06/10/1997 08:54:00 PM,9700384,P971611286,DISTRICT 3,9825,CHEMICAL IRRITANT,9XX GRAND AV,,,MALE,BLACK,UNKNOWN,FEMALE,WHITE,N/A,N/A,N/A
-5091,05/21/2001 08:42:00 PM,20010511,P011411428,DISTRICT 5,9825,CHEMICAL IRRITANT,16XX W NORTH BEND RD,39.204618524223,-84.5482823056719,MALE,WHITE,UNKNOWN,FEMALE,BLACK,COLLEGE HILL,COLLEGE  HILL,COLLEGE HILL
1317,07/06/2005 07:17:00 PM,2005-69354,P051871600,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,7XX CONSIDINE AV,39.1052765774731,-84.562414986335,MALE,BLACK,JUVENILE,MALE,WHITE,EAST PRICE HILL,EAST PRICE HILL,EAST PRICE HILL
-6988,05/28/2003 12:41:00 AM,20030413,P031480052,DISTRICT 1,9826,INJURY TO PRISONER,3XX W MCMICKEN AV,39.1198208504252,-84.525292535,MALE,BLACK,UNKNOWN,MALE,BLACK,OVER-THE-RHINE,OVER-THE-RHINE,OTR
5815,03/15/2011 08:10:00 PM,2011-154608,110315001570,OUTSIDE CITY,9823,NONCOMPLIANT SUSPECT/ARRESTEE,50XX GLENCROSSING WAY,,,FEMALE,WHITE,ADULT,MALE,WHITE,N/A,N/A,N/A
3967,05/22/2008 10:03:00 PM,2008-114606,LCP080522001859,DISTRICT 2,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,39XX EDWARDS AV,,,MALE,WHITE,ADULT,MALE,WHITE,N/A,N/A,N/A
-4695,02/21/2001 11:12:00 AM,20010112,P010510566,DISTRICT 4,9825,CHEMICAL IRRITANT,21XX GILBERT AV,39.121123501956,-84.495047139537,MALE,BLACK,UNKNOWN,MALE,BLACK,WALNUT HILLS,WALNUT HILLS,WALNUT HILLS
-6705,02/13/2003 08:07:00 PM,20030128,P030441412,DISTRICT 1,2382,USE OF FORCE INVESTIGATION,5XX VINE ST,39.1023078392572,-84.512297720729,MALE,BLACK,UNKNOWN,MALE,WHITE,DOWNTOWN,C. B. D. / RIVERFRONT,DOWNTOWN
-4308,10/20/2000 03:35:00 PM,20001004,P002941000,DISTRICT 4,9825,CHEMICAL IRRITANT,3XX ROCKDALE AV,39.1443041871588,-84.5001691468425,MALE,BLACK,UNKNOWN,MALE,WHITE,AVONDALE,AVONDALE,AVONDALE
-1844,08/09/1998 02:35:00 AM,9800604,P982210190,DISTRICT 4,9825,CHEMICAL IRRITANT,2XX MARTIN LUTHER KING,,,MALE,BLACK,UNKNOWN,MALE,HISPANIC/LATINO,N/A,N/A,N/A
-5503,09/24/2001 03:00:00 PM,20010926,P012670914,DISTRICT 1,9825,CHEMICAL IRRITANT,X E LIBERTY ST,,,FEMALE,BLACK,UNKNOWN,MALE,BLACK,N/A,N/A,N/A
9592,09/27/2018 05:35:16 PM,2018-240500,CPD180927001197,DISTRICT 5,9826,INJURY TO PRISONER,29XX SPRING GROVE AV,39.1355755698713,-84.5386983022833,FEMALE,BLACK,ADULT,MALE,WHITE,CAMP WASHINGTON,CAMP  WASHINGTON,CAMP WASHINGTON
503,11/12/2003 09:21:00 PM,2005-60267,PO33161649,DISTRICT 5,9823,NONCOMPLIANT SUSPECT/ARRESTEE,8XX DUTCH COLONY DR,39.1896116275576,-84.5179809447469,MALE,BLACK,ADULT,MALE,WHITE,WINTON HILLS,WINTON HILLS,WINTON HILLS
-1848,08/11/1998 07:40:00 PM,9800608,P982231190,DISTRICT 1,9825,CHEMICAL IRRITANT,6XX RACE ST,,,MALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-2059,10/06/1998 03:16:00 AM,9800820,P982790166,DISTRICT 4,9826,INJURY TO PRISONER,29XX MONFORT,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-1944,09/13/1998 12:45:00 PM,9800704,P982560481,DISTRICT 4,2382,USE OF FORCE INVESTIGATION,54XX GRAFTON,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-5844,02/18/2002 04:03:00 PM,20020095,P020490869,DISTRICT 2,9825,CHEMICAL IRRITANT,65XX MONTGOMERY RD,39.1869623502761,-84.4162087467868,MALE,BLACK,UNKNOWN,FEMALE,BLACK,KENNEDY HEIGHTS,KENNEDY  HEIGHTS,KENNEDY HEIGHTS
-2157,12/03/1998 09:40:00 PM,9800918,P983371382,DISTRICT 5,9826,INJURY TO PRISONER,XX W MCMILLAN,,,MALE,WHITE,UNKNOWN,FEMALE,WHITE,N/A,N/A,N/A
4860,08/15/2009 02:50:00 AM,2009-134520,LCP090815000216,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,11XX ST GREGORY ST,,,MALE,WHITE,ADULT,MALE,WHITE,N/A,N/A,N/A
9240,01/05/2018 01:53:00 AM,2018-232687,LCP180105000013,DISTRICT 5,9823,NONCOMPLIANT SUSPECT/ARRESTEE,10XX LUDLOW,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
9240,01/05/2018 01:53:00 AM,2018-232687,LCP180105000013,DISTRICT 5,9823,NONCOMPLIANT SUSPECT/ARRESTEE,10XX LUDLOW,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
-3607,04/04/2000 04:40:00 PM,20000297,P000951080,DISTRICT 1,9826,INJURY TO PRISONER,18XX  LOGAN,,,MALE,BLACK,UNKNOWN,MALE,BLACK,N/A,N/A,N/A
-3607,04/04/2000 04:40:00 PM,20000297,P000951080,DISTRICT 1,9826,INJURY TO PRISONER,18XX  LOGAN,,,MALE,BLACK,UNKNOWN,MALE,BLACK,N/A,N/A,N/A
3642,12/20/2007 01:10:00 PM,2007-107670,LCP071220000825,VORTEX UNIT,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,2XX E 14TH ST,,,MALE,BLACK,ADULT,MALE,ASIAN,N/A,N/A,N/A
-7620,02/24/2004 04:15:00 AM,20040119,P040550206,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,9XX BANK ST,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
6411,04/24/2012 01:14:00 PM,2012-168521,LCP120424000724,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,9XX MARTIN LUTHER KING DR,,,MALE,BLACK,ADULT,MALE,NATIVE HAWAIIAN,N/A,N/A,N/A
-1630,05/26/1998 05:36:00 PM,9800388,P981460873,DISTRICT 4,9826,INJURY TO PRISONER,XX VIEW COURT,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
5473,08/21/2010 12:56:00 AM,2010-147208,LCP100821000089,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,27XX ERLENE DR CINTI OHIO 45211,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
-3275,12/12/1999 01:45:00 PM,9901045,NONE,DISTRICT 1,9825,CHEMICAL IRRITANT,2XX EETE ROSE,,,MALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-5654,11/17/2001 05:05:00 PM,20011083,P013210872,DISTRICT 1,9826,INJURY TO PRISONER,13XX VINE ST,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-5654,11/17/2001 05:05:00 PM,20011083,P013210872,DISTRICT 1,9826,INJURY TO PRISONER,13XX VINE ST,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-2288,01/25/1999 01:45:00 AM,9900055,P990250053,DISTRICT 5,9825,CHEMICAL IRRITANT,10XX LUDLOW,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-5473,09/11/2001 10:28:00 AM,20010894,P012540505,DISTRICT 3,9825,CHEMICAL IRRITANT,24XX FERGUSON RD,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
2374,06/29/2006 08:05:00 PM,2006-84865,P061801625,DISTRICT 1,9826,INJURY TO PRISONER,1XX E LIBERTY ST,,,MALE,WHITE,ADULT,MALE,BLACK,N/A,N/A,N/A
-8048,08/07/2004 12:59:00 AM,20040550,P042200044,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,10XX LUDLOW AVNUE,,,MALE,BLACK,UNKNOWN,FEMALE,WHITE,N/A,N/A,N/A
-7322,09/30/2003 03:36:00 PM,20030747,P032730968,DISTRICT 4,9826,INJURY TO PRISONER,17XX SYCAMORE ST,,,MALE,BLACK,UNKNOWN,FEMALE,WHITE,N/A,N/A,N/A
-7322,09/30/2003 03:36:00 PM,20030747,P032730968,DISTRICT 4,9826,INJURY TO PRISONER,17XX SYCAMORE ST,,,MALE,BLACK,UNKNOWN,FEMALE,WHITE,N/A,N/A,N/A
7139,10/21/2013 06:42:00 PM,2013-185845,LCP131021001333,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,3XX BURNET AV,,,FEMALE,BLACK,JUVENILE,MALE,BLACK,N/A,N/A,N/A
5491,08/26/2010 11:54:00 AM,2010-147469,LCP100826000734,DISTRICT 5,9826,INJURY TO PRISONER,29XX HENSHAW AV,,,MALE,WHITE,ADULT,MALE,WHITE,N/A,N/A,N/A
4995,11/03/2009 10:25:00 PM,2009-137512,LCP091103001738,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,7XX ELBERON AV,,,MALE,HISPANIC/LATINO,JUVENILE,MALE,WHITE,N/A,N/A,N/A
1928,01/11/2006 09:36:00 PM,2006-77973,P060111560,DISTRICT 5,9823,NONCOMPLIANT SUSPECT/ARRESTEE,58XX MOMFORT HLS,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
1928,01/11/2006 09:36:00 PM,2006-77973,P060111560,DISTRICT 5,9823,NONCOMPLIANT SUSPECT/ARRESTEE,58XX MOMFORT HLS,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
3469,09/21/2007 12:57:00 AM,2007-103844,P072640060,VORTEX UNIT,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,1XX CORWINE ST,,,MALE,BLACK,ADULT,MALE,BLACK,N/A,N/A,N/A
1464,08/16/2005 10:58:00 PM,2005-71641,P052281707,DISTRICT 1,9826,INJURY TO PRISONER,19XX RACE ST CINCINNATI OHIO,,,MALE,BLACK,ADULT,FEMALE,WHITE,N/A,N/A,N/A
-2237,01/01/1999 05:10:00 AM,9900004,P990010343,DISTRICT 1,9825,CHEMICAL IRRITANT,19XX VINE,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
3601,12/07/2007 03:15:00 AM,2007-107023,LCP071207000156,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,26XX VICTORY PKWY,,,MALE,BLACK,ADULT,MALE,BLACK,N/A,N/A,N/A
4742,06/09/2009 07:28:00 PM,2009-131526,LCP0900609001656,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,8XX GLENWOOD AV,,,FEMALE,BLACK,JUVENILE,MALE,WHITE,N/A,N/A,N/A
-6893,04/10/2003 08:50:00 AM,20030317,P031000379,DISTRICT 1,2382,USE OF FORCE INVESTIGATION,3XX HOME ST,,,MALE,WHITE,UNKNOWN,MALE,BLACK,N/A,N/A,N/A
7061,08/16/2013 06:13:00 PM,2013-183765,LCP130816001233,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,32XX HARRISON AV CINCINNATI OH 45211,,,MALE,BLACK,JUVENILE,MALE,WHITE,N/A,N/A,N/A
-2597,05/09/1999 12:10:00 AM,9900365,P991281419,DISTRICT 2,9825,CHEMICAL IRRITANT,32XX ERIE AVNUE,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-2942,08/27/1999 02:12:00 AM,9900711,P992390080,DISTRICT 4,9825,CHEMICAL IRRITANT,X  W CORRY,,,MALE,WHITE,UNKNOWN,FEMALE,WHITE,N/A,N/A,N/A
-2273,01/16/1999 06:50:00 PM,9900040,P990160857,DISTRICT 1,9825,CHEMICAL IRRITANT,XX WEST 12TH ST,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
6429,05/05/2012 03:29:00 AM,2012-168993,LCP120505000209,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,ON TALEN STREET AT 3548 DICK ST,,,MALE,BLACK,ADULT,FEMALE,WHITE,N/A,N/A,N/A
5451,08/07/2010 11:58:00 PM,2010-146745,LCP100807001772,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,6XX NEAV ST CINTI OHIO 45204,,,MALE,BLACK,ADULT,MALE,HISPANIC/LATINO,N/A,N/A,N/A
6795,02/15/2013 09:42:00 PM,2013-178347,LCP130215001579,DISTRICT 1,9826,INJURY TO PRISONER,5XX MAIN ST,,,MALE,BLACK,JUVENILE,MALE,BLACK,N/A,N/A,N/A
9452,06/18/2018 11:36:00 AM,2018-237078,CPD180618000591,DISTRICT 1,9826,INJURY TO PRISONER,XX FINDLAY ST,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
-6419,10/12/2002 07:13:00 AM,20020674,P022850398,DISTRICT 4,2382,USE OF FORCE INVESTIGATION,4XX OAK STREET,,,MALE,WHITE,UNKNOWN,MALE,BLACK,N/A,N/A,N/A
-1552,04/28/1998 09:50:00 PM,9800308,NONE,DISTRICT 1,9825,CHEMICAL IRRITANT,2XX EETE ROSE WAY,,,MALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
