cohort,prob,percentile,gender
1978.0,0.409,10,f
1979.0,0.39,10,f
1980.0,0.397,10,f
1981.0,0.436,10,f
1982.0,0.445,10,f
1983.0,0.41,10,f
1984.0,0.427,10,f
1940.0,0.228,11,f
1941.0,0.22,11,f
1942.0,0.224,11,f
1943.0,0.223,11,f
1944.0,0.281,11,f
1945.0,0.307,11,f
1946.0,0.319,11,f
1947.0,0.343,11,f
1948.0,0.341,11,f
1949.0,0.354,11,f
1950.0,0.405,11,f
1951.0,0.383,11,f
1952.0,0.385,11,f
1953.0,0.371,11,f
1954.0,0.359,11,f
1955.0,0.355,11,f
1956.0,0.346,11,f
1957.0,0.356,11,f
1958.0,0.363,11,f
1959.0,0.331,11,f
1960.0,0.302,11,f
1961.0,0.35,11,f
1962.0,0.348,11,f
1963.0,0.328,11,f
1964.0,0.329,11,f
1965.0,0.388,11,f
1966.0,0.315,11,f
1967.0,0.333,11,f
1968.0,0.38,11,f
1969.0,0.372,11,f
1970.0,0.405,11,f
1971.0,0.444,11,f
1972.0,0.399,11,f
1973.0,0.407,11,f
1974.0,0.425,11,f
1975.0,0.402,11,f
1976.0,0.41,11,f
1977.0,0.417,11,f
1978.0,0.401,11,f
1979.0,0.378,11,f
1980.0,0.387,11,f
1981.0,0.417,11,f
1982.0,0.41,11,f
1983.0,0.404,11,f
1984.0,0.415,11,f
1940.0,0.229,12,f
1941.0,0.224,12,f
1942.0,0.228,12,f
1943.0,0.225,12,f
1944.0,0.281,12,f
1945.0,0.298,12,f
1946.0,0.319,12,f
1947.0,0.345,12,f
1948.0,0.338,12,f
1949.0,0.355,12,f
1950.0,0.401,12,f
1951.0,0.383,12,f
1952.0,0.385,12,f
1953.0,0.36,12,f
1954.0,0.355,12,f
1955.0,0.352,12,f
1956.0,0.337,12,f
1957.0,0.362,12,f
1958.0,0.364,12,f
1959.0,0.323,12,f
1960.0,0.289,12,f
1961.0,0.34,12,f
1962.0,0.323,12,f
1963.0,0.325,12,f
1964.0,0.321,12,f
1965.0,0.371,12,f
1966.0,0.297,12,f
1967.0,0.321,12,f
1968.0,0.374,12,f
1969.0,0.359,12,f
1970.0,0.382,12,f
1971.0,0.436,12,f
1972.0,0.39,12,f
1973.0,0.387,12,f
1974.0,0.415,12,f
1975.0,0.397,12,f
1976.0,0.405,12,f
1977.0,0.411,12,f
1978.0,0.382,12,f
1979.0,0.367,12,f
1980.0,0.364,12,f
1981.0,0.414,12,f
1982.0,0.396,12,f
1983.0,0.392,12,f
1984.0,0.404,12,f
1940.0,0.232,13,f
1941.0,0.223,13,f
1942.0,0.229,13,f
1943.0,0.224,13,f
1944.0,0.282,13,f
1945.0,0.294,13,f
1946.0,0.315,13,f
1947.0,0.343,13,f
1948.0,0.336,13,f
1949.0,0.348,13,f
1950.0,0.4,13,f
1951.0,0.38,13,f
1952.0,0.374,13,f
1953.0,0.356,13,f
1954.0,0.351,13,f
1955.0,0.343,13,f
1956.0,0.329,13,f
1957.0,0.35,13,f
1958.0,0.352,13,f
1959.0,0.319,13,f
1960.0,0.283,13,f
1961.0,0.324,13,f
1962.0,0.317,13,f
1963.0,0.315,13,f
1964.0,0.3,13,f
1965.0,0.358,13,f
1966.0,0.289,13,f
1967.0,0.312,13,f
1968.0,0.37,13,f
1969.0,0.343,13,f
1970.0,0.365,13,f
1971.0,0.406,13,f
1972.0,0.383,13,f
1973.0,0.376,13,f
1974.0,0.406,13,f
1975.0,0.386,13,f
1976.0,0.398,13,f
1977.0,0.404,13,f
1978.0,0.373,13,f
1979.0,0.36,13,f
1980.0,0.349,13,f
1981.0,0.415,13,f
1982.0,0.396,13,f
1983.0,0.39,13,f
1984.0,0.39,13,f
1940.0,0.233,14,f
1941.0,0.222,14,f
1942.0,0.228,14,f
1943.0,0.222,14,f
1944.0,0.28,14,f
1945.0,0.295,14,f
1946.0,0.318,14,f
1947.0,0.346,14,f
1948.0,0.335,14,f
1949.0,0.348,14,f
1950.0,0.399,14,f
1951.0,0.383,14,f
1952.0,0.368,14,f
1953.0,0.349,14,f
1954.0,0.347,14,f
1955.0,0.338,14,f
1956.0,0.328,14,f
1957.0,0.34,14,f
1958.0,0.345,14,f
1959.0,0.312,14,f
1960.0,0.28,14,f
1961.0,0.318,14,f
1962.0,0.306,14,f
1963.0,0.298,14,f
1964.0,0.295,14,f
1965.0,0.345,14,f
1966.0,0.286,14,f
1967.0,0.302,14,f
1968.0,0.357,14,f
1969.0,0.34,14,f
1970.0,0.364,14,f
1971.0,0.396,14,f
1972.0,0.365,14,f
1973.0,0.37,14,f
1974.0,0.398,14,f
1975.0,0.38,14,f
1976.0,0.387,14,f
1977.0,0.402,14,f
1978.0,0.345,14,f
1979.0,0.334,14,f
1980.0,0.345,14,f
1981.0,0.41,14,f
1982.0,0.391,14,f
1983.0,0.384,14,f
1984.0,0.381,14,f
1940.0,0.238,15,f
1941.0,0.222,15,f
1942.0,0.23,15,f
1943.0,0.224,15,f
1944.0,0.282,15,f
1945.0,0.293,15,f
1946.0,0.318,15,f
1947.0,0.347,15,f
1948.0,0.334,15,f
1949.0,0.351,15,f
1950.0,0.392,15,f
1951.0,0.381,15,f
1952.0,0.369,15,f
1953.0,0.339,15,f
1954.0,0.343,15,f
1955.0,0.336,15,f
1956.0,0.325,15,f
1957.0,0.327,15,f
1958.0,0.348,15,f
1959.0,0.306,15,f
1960.0,0.28,15,f
1961.0,0.304,15,f
1962.0,0.301,15,f
1963.0,0.283,15,f
1964.0,0.286,15,f
1965.0,0.339,15,f
1966.0,0.285,15,f
1967.0,0.301,15,f
1968.0,0.351,15,f
1969.0,0.339,15,f
1970.0,0.357,15,f
1971.0,0.393,15,f
1972.0,0.363,15,f
1973.0,0.357,15,f
1974.0,0.395,15,f
1975.0,0.377,15,f
1976.0,0.385,15,f
1977.0,0.38,15,f
1978.0,0.34,15,f
1979.0,0.33,15,f
1980.0,0.34,15,f
1981.0,0.395,15,f
1982.0,0.379,15,f
1983.0,0.365,15,f
1984.0,0.366,15,f
1940.0,0.241,16,f
1941.0,0.22,16,f
1942.0,0.226,16,f
1943.0,0.223,16,f
1944.0,0.28,16,f
1945.0,0.297,16,f
1946.0,0.315,16,f
1947.0,0.345,16,f
1948.0,0.332,16,f
1949.0,0.35,16,f
1950.0,0.39,16,f
1951.0,0.376,16,f
1952.0,0.368,16,f
1953.0,0.333,16,f
1954.0,0.332,16,f
1955.0,0.332,16,f
1956.0,0.317,16,f
1957.0,0.321,16,f
1958.0,0.338,16,f
1959.0,0.295,16,f
1960.0,0.279,16,f
1961.0,0.299,16,f
1962.0,0.286,16,f
1963.0,0.286,16,f
1964.0,0.282,16,f
1965.0,0.331,16,f
1966.0,0.288,16,f
1967.0,0.296,16,f
1968.0,0.346,16,f
1969.0,0.326,16,f
1970.0,0.338,16,f
1971.0,0.394,16,f
1972.0,0.344,16,f
1973.0,0.35,16,f
1974.0,0.389,16,f
1975.0,0.372,16,f
1976.0,0.372,16,f
1977.0,0.366,16,f
1978.0,0.334,16,f
1979.0,0.326,16,f
1980.0,0.329,16,f
1981.0,0.37,16,f
1982.0,0.353,16,f
1983.0,0.36,16,f
1984.0,0.355,16,f
1940.0,0.243,17,f
1941.0,0.221,17,f
1942.0,0.233,17,f
1943.0,0.227,17,f
1944.0,0.285,17,f
1945.0,0.296,17,f
1946.0,0.316,17,f
1947.0,0.345,17,f
1948.0,0.331,17,f
1949.0,0.348,17,f
1950.0,0.391,17,f
1951.0,0.375,17,f
1952.0,0.366,17,f
1953.0,0.33,17,f
1954.0,0.334,17,f
1955.0,0.326,17,f
1956.0,0.308,17,f
1957.0,0.316,17,f
1958.0,0.335,17,f
1959.0,0.294,17,f
1960.0,0.274,17,f
1961.0,0.288,17,f
1962.0,0.294,17,f
1963.0,0.277,17,f
1964.0,0.282,17,f
1965.0,0.334,17,f
1966.0,0.279,17,f
1967.0,0.287,17,f
1968.0,0.34,17,f
1969.0,0.312,17,f
1970.0,0.324,17,f
1971.0,0.383,17,f
1972.0,0.341,17,f
1973.0,0.34,17,f
1974.0,0.374,17,f
1975.0,0.351,17,f
1976.0,0.368,17,f
1977.0,0.362,17,f
1978.0,0.324,17,f
1979.0,0.321,17,f
1980.0,0.324,17,f
1981.0,0.363,17,f
1982.0,0.352,17,f
1983.0,0.359,17,f
1984.0,0.348,17,f
1940.0,0.241,18,f
1941.0,0.221,18,f
1942.0,0.232,18,f
1943.0,0.227,18,f
1944.0,0.283,18,f
1945.0,0.292,18,f
1946.0,0.315,18,f
1947.0,0.341,18,f
1948.0,0.328,18,f
1949.0,0.348,18,f
1950.0,0.387,18,f
1951.0,0.371,18,f
1952.0,0.357,18,f
1953.0,0.323,18,f
1954.0,0.332,18,f
1955.0,0.32,18,f
1956.0,0.31,18,f
1957.0,0.314,18,f
1958.0,0.318,18,f
1959.0,0.285,18,f
1960.0,0.27,18,f
1961.0,0.291,18,f
1962.0,0.281,18,f
1963.0,0.274,18,f
1964.0,0.279,18,f
1965.0,0.314,18,f
1966.0,0.268,18,f
1967.0,0.274,18,f
1968.0,0.336,18,f
1969.0,0.306,18,f
1970.0,0.32,18,f
1971.0,0.37,18,f
1972.0,0.331,18,f
1973.0,0.326,18,f
1974.0,0.366,18,f
1975.0,0.342,18,f
1976.0,0.357,18,f
1977.0,0.353,18,f
1978.0,0.319,18,f
1979.0,0.316,18,f
1980.0,0.313,18,f
1981.0,0.359,18,f
1982.0,0.35,18,f
1983.0,0.354,18,f
1984.0,0.335,18,f
1940.0,0.243,19,f
1941.0,0.221,19,f
1942.0,0.233,19,f
1943.0,0.226,19,f
1944.0,0.283,19,f
1945.0,0.29,19,f
1946.0,0.316,19,f
1947.0,0.339,19,f
1948.0,0.326,19,f
1949.0,0.349,19,f
1950.0,0.383,19,f
1951.0,0.37,19,f
1952.0,0.349,19,f
1953.0,0.321,19,f
1954.0,0.324,19,f
1955.0,0.311,19,f
1956.0,0.304,19,f
1957.0,0.315,19,f
1958.0,0.314,19,f
1959.0,0.289,19,f
1960.0,0.274,19,f
1961.0,0.287,19,f
1962.0,0.278,19,f
1963.0,0.271,19,f
1964.0,0.269,19,f
1965.0,0.307,19,f
1966.0,0.263,19,f
1967.0,0.272,19,f
1968.0,0.318,19,f
1969.0,0.295,19,f
1970.0,0.315,19,f
1971.0,0.365,19,f
1972.0,0.316,19,f
1973.0,0.315,19,f
1974.0,0.358,19,f
1975.0,0.339,19,f
1976.0,0.348,19,f
1977.0,0.351,19,f
1978.0,0.311,19,f
1979.0,0.305,19,f
1980.0,0.307,19,f
1981.0,0.344,19,f
1982.0,0.341,19,f
1983.0,0.345,19,f
1984.0,0.329,19,f
1940.0,0.243,20,f
1941.0,0.217,20,f
1942.0,0.232,20,f
1943.0,0.222,20,f
1944.0,0.279,20,f
1945.0,0.29,20,f
1946.0,0.32,20,f
1947.0,0.339,20,f
1948.0,0.325,20,f
1949.0,0.347,20,f
1950.0,0.386,20,f
1951.0,0.368,20,f
1952.0,0.35,20,f
1953.0,0.322,20,f
1954.0,0.317,20,f
1955.0,0.315,20,f
1956.0,0.301,20,f
1957.0,0.309,20,f
1958.0,0.318,20,f
1959.0,0.286,20,f
1960.0,0.266,20,f
1961.0,0.282,20,f
1962.0,0.271,20,f
1963.0,0.27,20,f
1964.0,0.263,20,f
1965.0,0.303,20,f
1966.0,0.257,20,f
1967.0,0.257,20,f
1968.0,0.306,20,f
1969.0,0.297,20,f
1970.0,0.295,20,f
1971.0,0.356,20,f
1972.0,0.313,20,f
1973.0,0.313,20,f
1974.0,0.351,20,f
1975.0,0.327,20,f
1976.0,0.348,20,f
1977.0,0.341,20,f
1978.0,0.297,20,f
1979.0,0.298,20,f
1980.0,0.3,20,f
1981.0,0.344,20,f
1982.0,0.34,20,f
1983.0,0.344,20,f
1984.0,0.315,20,f
1940.0,0.239,21,f
1941.0,0.219,21,f
1942.0,0.235,21,f
1943.0,0.227,21,f
1944.0,0.285,21,f
1945.0,0.294,21,f
1946.0,0.324,21,f
1947.0,0.34,21,f
1948.0,0.329,21,f
1949.0,0.335,21,f
1950.0,0.385,21,f
1951.0,0.366,21,f
1952.0,0.353,21,f
1953.0,0.32,21,f
1954.0,0.311,21,f
1955.0,0.316,21,f
1956.0,0.304,21,f
1957.0,0.306,21,f
1958.0,0.308,21,f
1959.0,0.285,21,f
1960.0,0.266,21,f
1961.0,0.281,21,f
1962.0,0.268,21,f
1963.0,0.261,21,f
1964.0,0.262,21,f
1965.0,0.304,21,f
1966.0,0.258,21,f
1967.0,0.255,21,f
1968.0,0.3,21,f
1969.0,0.304,21,f
1970.0,0.302,21,f
1971.0,0.352,21,f
1972.0,0.313,21,f
1973.0,0.305,21,f
1974.0,0.358,21,f
1975.0,0.33,21,f
1976.0,0.344,21,f
1977.0,0.326,21,f
1978.0,0.299,21,f
1979.0,0.298,21,f
1980.0,0.29,21,f
1981.0,0.342,21,f
1982.0,0.337,21,f
1983.0,0.331,21,f
1984.0,0.305,21,f
1940.0,0.247,22,f
1941.0,0.225,22,f
1942.0,0.242,22,f
1943.0,0.231,22,f
1944.0,0.288,22,f
1945.0,0.298,22,f
1946.0,0.326,22,f
1947.0,0.345,22,f
1948.0,0.33,22,f
1949.0,0.338,22,f
1950.0,0.387,22,f
1951.0,0.364,22,f
1952.0,0.346,22,f
1953.0,0.314,22,f
1954.0,0.317,22,f
1955.0,0.317,22,f
1956.0,0.302,22,f
1957.0,0.313,22,f
1958.0,0.305,22,f
1959.0,0.282,22,f
1960.0,0.267,22,f
1961.0,0.284,22,f
1962.0,0.257,22,f
1963.0,0.26,22,f
1964.0,0.262,22,f
1965.0,0.29,22,f
1966.0,0.249,22,f
1967.0,0.262,22,f
1968.0,0.307,22,f
1969.0,0.293,22,f
1970.0,0.303,22,f
1971.0,0.36,22,f
1972.0,0.32,22,f
1973.0,0.309,22,f
1974.0,0.355,22,f
1975.0,0.333,22,f
1976.0,0.339,22,f
1977.0,0.324,22,f
1978.0,0.3,22,f
1979.0,0.301,22,f
1980.0,0.291,22,f
1981.0,0.343,22,f
1982.0,0.319,22,f
1983.0,0.326,22,f
1984.0,0.301,22,f
1940.0,0.238,23,f
1941.0,0.225,23,f
1942.0,0.242,23,f
1943.0,0.23,23,f
1944.0,0.289,23,f
1945.0,0.298,23,f
1946.0,0.321,23,f
1947.0,0.344,23,f
1948.0,0.32,23,f
1949.0,0.336,23,f
1950.0,0.383,23,f
1951.0,0.36,23,f
1952.0,0.337,23,f
1953.0,0.309,23,f
1954.0,0.309,23,f
1955.0,0.315,23,f
1956.0,0.291,23,f
1957.0,0.31,23,f
1958.0,0.308,23,f
1959.0,0.269,23,f
1960.0,0.263,23,f
1961.0,0.274,23,f
1962.0,0.255,23,f
1963.0,0.249,23,f
1964.0,0.254,23,f
1965.0,0.274,23,f
1966.0,0.249,23,f
1967.0,0.264,23,f
1968.0,0.307,23,f
1969.0,0.288,23,f
1970.0,0.301,23,f
1971.0,0.357,23,f
1972.0,0.318,23,f
1973.0,0.305,23,f
1974.0,0.349,23,f
1975.0,0.332,23,f
1976.0,0.336,23,f
1977.0,0.322,23,f
1978.0,0.299,23,f
1979.0,0.298,23,f
1980.0,0.291,23,f
1981.0,0.33,23,f
1982.0,0.319,23,f
1983.0,0.322,23,f
1984.0,0.301,23,f
1940.0,0.238,24,f
1941.0,0.227,24,f
1942.0,0.245,24,f
1943.0,0.23,24,f
1944.0,0.289,24,f
1945.0,0.29,24,f
1946.0,0.319,24,f
1947.0,0.339,24,f
1948.0,0.323,24,f
1949.0,0.327,24,f
1950.0,0.377,24,f
1951.0,0.359,24,f
1952.0,0.334,24,f
1953.0,0.313,24,f
1954.0,0.307,24,f
1955.0,0.312,24,f
1956.0,0.295,24,f
1957.0,0.308,24,f
1958.0,0.302,24,f
1959.0,0.262,24,f
1960.0,0.252,24,f
1961.0,0.272,24,f
1962.0,0.255,24,f
1963.0,0.244,24,f
1964.0,0.248,24,f
1965.0,0.278,24,f
1966.0,0.254,24,f
1967.0,0.26,24,f
1968.0,0.288,24,f
1969.0,0.28,24,f
1970.0,0.301,24,f
1971.0,0.35,24,f
1972.0,0.318,24,f
1973.0,0.304,24,f
1974.0,0.35,24,f
1975.0,0.337,24,f
1976.0,0.341,24,f
1977.0,0.324,24,f
1978.0,0.302,24,f
